Method/Property,Line,FilePath,Code
GetFixedRecordSize,179,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/SpanByteAllocatorImpl.cs,CA1822
AcquireLockable,45,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/ClientSession/ClientSession.cs,CA1822
LocksAcquired,52,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/ClientSession/ClientSession.cs,CA1822
GetCustomRespCommand,180,garnet-1.0.92/libs/server/Custom/CustomCommandManagerSession.cs,CA1822
GetCustomGarnetObjectType,188,garnet-1.0.92/libs/server/Custom/CustomCommandManagerSession.cs,CA1822
StringSetBit,385,garnet-1.0.92/libs/server/Storage/Session/MainStore/BitmapOps.cs,CA1822
StringGetBit,389,garnet-1.0.92/libs/server/Storage/Session/MainStore/BitmapOps.cs,CA1822
StringBitCount,393,garnet-1.0.92/libs/server/Storage/Session/MainStore/BitmapOps.cs,CA1822
StringBitPosition,397,garnet-1.0.92/libs/server/Storage/Session/MainStore/BitmapOps.cs,CA1822
StringBitField,401,garnet-1.0.92/libs/server/Storage/Session/MainStore/BitmapOps.cs,CA1822
StringBitFieldReadOnly,415,garnet-1.0.92/libs/server/Storage/Session/MainStore/BitmapOps.cs,CA1822
HyperLogLogAdd,63,garnet-1.0.92/libs/server/Storage/Session/MainStore/HyperLogLogOps.cs,CA1822
GETDEL,176,garnet-1.0.92/libs/server/Storage/Session/MainStore/MainStoreOps.cs,CA1822
SET,486,garnet-1.0.92/libs/server/Storage/Session/MainStore/MainStoreOps.cs,CA1822
RMWObjectStoreOperation,22,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/Common.cs,CA1822
RMWObjectStoreOperationWithOutput,60,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/Common.cs,CA1822
ReadObjectStoreOperationWithOutput,82,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/Common.cs,CA1822
HashLength,247,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashLength,447,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashStrLength,460,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashExists,486,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
ListLength,178,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListLength,477,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
SetLength,152,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SetOps.cs,CA1822
SetLength,697,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SetOps.cs,CA1822
SortedSetLength,423,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetLength,828,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetLengthByValue,967,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
RMWObjectStoreOperation,38,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/Common.cs,CA1822
ReadObjectStoreOperationWithOutput,104,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/Common.cs,CA1822
ObjectScan,794,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/Common.cs,CA1822
HashSet,379,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashGet,395,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashGetAll,408,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashGetMultiple,421,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashRandomField,434,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashDelete,473,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashKeys,499,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashVals,512,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashIncrement,539,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashExpire,552,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashTimeToLive,567,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
HashPersist,584,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
ListTrim,339,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListPosition,378,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListTrim,392,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListRange,405,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListIndex,435,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListRemove,449,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListPop,463,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListSet,490,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
SetAdd,669,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SetOps.cs,CA1822
SetRemove,684,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SetOps.cs,CA1822
SetMembers,710,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SetOps.cs,CA1822
SetIsMember,723,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SetOps.cs,CA1822
SetPop,770,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SetOps.cs,CA1822
SetRandomMember,787,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SetOps.cs,CA1822
GeoAdd,26,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetGeoOps.cs,CA1822
GeoCommands,41,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetGeoOps.cs,CA1822
SortedSetRemove,815,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetRange,843,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetScore,857,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetScores,871,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetPop,885,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetCount,938,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetRemoveRangeByLex,952,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetIncrement,981,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetRemoveRange,995,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetRank,1008,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetRandomMember,1021,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetScan,1035,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetExpire,1566,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetTimeToLive,1616,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetPersist,1662,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
HashIncrement,525,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/HashOps.cs,CA1822
ListTrim,339,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListPosition,378,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListTrim,392,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListRange,405,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListIndex,435,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListRemove,449,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListPop,463,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
ListSet,490,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/ListOps.cs,CA1822
GeoAdd,26,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetGeoOps.cs,CA1822
GeoCommands,41,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetGeoOps.cs,CA1822
SortedSetRemove,815,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetRange,843,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetScore,857,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetScores,871,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetPop,885,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetCount,938,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetRemoveRangeByLex,952,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetIncrement,981,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
SortedSetRemoveRange,995,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/SortedSetOps.cs,CA1822
