method_name,line_number,file_name,to_static,reasoning
ExecuteForStringResultAsync,25,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringResultAsync,54,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringResultAsync,67,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringResult,87,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringResult,114,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringResult,127,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResultAsync,256,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResultAsync,283,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResultAsync,296,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResult,316,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResult,343,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResult,355,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringArrayResultAsync,482,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringArrayResultAsync,509,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringArrayResultAsync,522,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringArrayResult,541,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringArrayResult,567,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForStringArrayResult,579,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResultArrayAsync,709,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResultArrayAsync,736,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResultArrayAsync,749,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResultArray,768,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResultArray,793,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForMemoryResultArray,805,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForLongResultAsync,940,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForLongResultAsync,953,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForLongResultAsync,967,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForLongResult,986,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForLongResult,999,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
ExecuteForLongResult,1013,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientExecuteAPI.cs,True,Cascading + LLM (No Internal Calls)
DynamicallyRegisterCustomCommands,635,garnet-1.0.92/test/Garnet.test/RespCommandTests.cs,True,Direct Analysis
SortedSetAdd,27,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientSortedSetCommands.cs,True,Cascading + LLM (With Internal Calls)
SortedSetAdd,47,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientSortedSetCommands.cs,True,Cascading + LLM (With Internal Calls)
SortedSetAddAsync,60,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientSortedSetCommands.cs,True,Cascading + LLM (With Internal Calls)
SortedSetAddAsync,79,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientSortedSetCommands.cs,True,Cascading + LLM (With Internal Calls)
SortedSetRemove,94,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientSortedSetCommands.cs,True,Cascading + LLM (With Internal Calls)
SortedSetRemove,112,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientSortedSetCommands.cs,True,Cascading + LLM (With Internal Calls)
SortedSetRemoveAsync,126,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientSortedSetCommands.cs,True,Cascading + LLM (With Internal Calls)
SortedSetRemoveAsync,144,garnet-1.0.92/libs/client/GarnetClientAPI/GarnetClientSortedSetCommands.cs,True,Cascading + LLM (With Internal Calls)
Dump,59,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Index/Tsavorite/Implementation/Revivification/RevivificationStats.cs,True,Direct Analysis
SingleSetRename,56,garnet-1.0.92/samples/GarnetClientSample/SERedisSamples.cs,True,Direct Analysis
SingleSetGet,73,garnet-1.0.92/samples/GarnetClientSample/SERedisSamples.cs,True,Direct Analysis
SingleIncr,89,garnet-1.0.92/samples/GarnetClientSample/SERedisSamples.cs,True,Direct Analysis
SingleIncrBy,109,garnet-1.0.92/samples/GarnetClientSample/SERedisSamples.cs,True,Direct Analysis
SingleDecrBy,131,garnet-1.0.92/samples/GarnetClientSample/SERedisSamples.cs,True,Direct Analysis
SingleDecr,151,garnet-1.0.92/samples/GarnetClientSample/SERedisSamples.cs,True,Direct Analysis
SingleIncrNoKey,166,garnet-1.0.92/samples/GarnetClientSample/SERedisSamples.cs,True,Direct Analysis
SingleExists,187,garnet-1.0.92/samples/GarnetClientSample/SERedisSamples.cs,True,Direct Analysis
SingleDelete,204,garnet-1.0.92/samples/GarnetClientSample/SERedisSamples.cs,True,Direct Analysis
CustomDeserialize,59,garnet-1.0.92/libs/server/Objects/Types/GarnetObjectSerializer.cs,True,Direct Analysis
CheckIfKeyExists,17,garnet-1.0.92/libs/cluster/Session/SlotVerification/ClusterSlotVerify.cs,True,Direct Analysis
SingleKeySlotVerify,26,garnet-1.0.92/libs/cluster/Session/SlotVerification/ClusterSlotVerify.cs,True,Direct Analysis
Increment,72,garnet-1.0.92/libs/storage/Tsavorite/cs/test/LockableUnsafeContextTests.cs,True,Direct Analysis
Decrement,80,garnet-1.0.92/libs/storage/Tsavorite/cs/test/LockableUnsafeContextTests.cs,True,Direct Analysis
CreateKeys,306,garnet-1.0.92/libs/storage/Tsavorite/cs/test/OverflowBucketLockTableTests.cs,True,Direct Analysis
